"SKU","Title","Quantity","Price","Category","Images","Description","Traits","shipping_price","shipping_type","shipping_carrier","shipping_service","shipping_package","noindex","force_update"
"TUANA585264651","Men's Metropolitan Division Sidney Crosby 2018 NHL All-Star Gray Stitched Jersey ","499","70.99","Arts & Entertainment >> Hobbies & Creative Arts >> Collectibles >> Sports Collectibles >> Sports Fan Accessories >> Hockey Fan Accessories","https://images.bonanzastatic.com/afu/images/a855/0377/1dcf_5899223496/Metropolitan_Division_Sidney_Crosby_2018_NHL_All-Star_Gray_Jersey.jpg https://images.bonanzastatic.com/afu/images/a000/4d5d/07d9_5899223585/Metropolitan_Division_Sidney_Crosby_2018_NHL_All-Star_Gray_Jersey.jpg https://images.bonanzastatic.com/afu/images/4af3/80ea/6817_5899223669/baseball_jersey_customer_service.png https://images.bonanzastatic.com/afu/images/bf36/0dd4/88d7_5899223682/Hockey_jersey_size_chart.jpg https://images.bonanzastatic.com/afu/images/16a9/1e92/be1d_5899223747/Metropolitan_Division_Sidney_Crosby_2018_NHL_All-Star_Gray_Jersey_2.jpg https://images.bonanzastatic.com/afu/images/523f/65c2/ce1e_5899223892/Metropolitan_Division_Sidney_Crosby_2018_NHL_All-Star_Gray_Jersey_3.jpg https://images.bonanzastatic.com/afu/images/97d1/68de/3794_5899223897/Metropolitan_Division_Sidney_Crosby_2018_NHL_All-Star_Gray_Jersey_logo.jpg https://images.bonanzastatic.com/afu/images/a78a/76bd/2955_5899223922/Metropolitan_Division_Sidney_Crosby_2018_NHL_All-Star_Gray_Jersey.jpg","     <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><strong style=""color: rgb(255, 0, 0); font-size: 20px;"">Get 50%OFF For A Limited Time Today Only!</strong></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><strong style=""color: rgb(255, 0, 0); font-size: 20px;"">Retail price: $ 128.99</strong></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-size: 22px;""><span style=""color: rgb(0, 100, 0);""><strong>Today Only: $64.99</strong></span></span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-size: 20px;""><span style=""color: rgb(255, 0, 0);""><strong>Hurry! Offer ends soon. Choose A Jersey Size and Click Add To Cart Now!</strong></span></span>    </p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><em style=""text-align: center;"">We assure you the best quality, Best price ! We have many teams , colors, size available! If you want to custom, please contact with us. </em></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><strong style=""font-family: georgia, serif;"">More Products:  </strong></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;"">We have all teams, players, colors, size, styles jerseys instock. We just put some photos online store. if you like more others, please kindly contact us and we will give you discount if you have big order wholesale. All these photos are real photos products. The items you received will more fantastic then the pictures you see.</span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;"">Please read size chart carefully,there is offical size chart.If we send correct size but buyer choose wrong size we won't accpet this kind dispute.Chest size is measured by the circumference of the widest part of your upper torso, below the arms. Sizes may vary by</span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;""><strong>About US:</strong></span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;"">We are a professional manufacturer and exporter that is concerned with development, quality, design and production of all kinds of jerseys, such as basketball jerseys, american football jersey, hockey jersey, and soccer jerseys. All of our jerseys comply with international quality standards, all stitched and are greatly appreciated in a variety of different markets throughout all over the world.</span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;""><strong>Shipping:</strong></span></p>  <ol style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'> 	<li><span style=""font-family: georgia, serif;"">We can ship your products by Epacket. We will ship the items within 1-3 working days after the payment is reached. All Shipping by plane safely.</span></li> 	<li><span style=""font-family: georgia, serif;"">Shipping time: E-packet 12 – 20 business days depending on different destinations and couriers</span></li> 	<li><span style=""font-family: georgia, serif;"">Customs duty is obligation and liability, and buyer should be responsible for tax and custom duty incurred</span></li> 	<li><span style=""font-family: georgia, serif;"">If haven't receive it after 30 business days, please let us know and we'll provide with the best solution</span></li> </ol>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;""><strong>Payment</strong></span></p>  <ol style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'> 	<li><span style=""font-family: georgia, serif;"">We accept PayPal only.</span></li> 	<li><span style=""font-family: georgia, serif;"">All major credit cards are accepted through secure payment processor PayPal.</span></li> 	<li><span style=""font-family: georgia, serif;"">We ship to your or Paypal address. Please make sure your and Paypal address is correct before you pay.</span></li> </ol>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;""><strong>Returns / Concerns</strong></span></p>  <ol style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'> 	<li><span style=""font-family: georgia, serif;"">All items qualify for returns within 14 - 30 days of receipt.</span></li> 	<li><span style=""font-family: georgia, serif;"">Buyer is responsible for return shipping payment for any item that is not damaged.</span></li> 	<li><span style=""font-family: georgia, serif;"">Please be sure this is an item you want before making your purchase.</span></li> 	<li><span style=""font-family: georgia, serif;"">Customer Satisfaction is our TOP priority!</span></li> 	<li><span style=""font-family: georgia, serif;"">Inventory changes constantly and it is impossible to maintain a perfectly accurate count of all items.</span></li> 	<li><span style=""font-family: georgia, serif;"">Please do not penalize us if we have to issue you a refund!</span></li> 	<li><span style=""font-family: georgia, serif;"">We would be happy to answer any questions you may have.</span></li> </ol>  <p style=""color: rgb(0, 0, 0); font-family: Lato, Arial, Helvetica, FreeSans, sans-serif; font-size: medium;""><span style=""font-family: georgia, serif;"">Hurry! Offer ends soon. Order our jersey today: </span>Men's Metropolitan Division Sidney Crosby 2018 NHL All-Star Gray Stitched Jersey</p>   <p>FUCK</p>
","[[Condition:New]] [[Autographed:No]] [[Product:Jersey]] [[Gender:Men]] [[Country/Region of Manufacture:China]] [[Player:Sidney Crosby]] [[Pre & Post Season:Regular Season]] [[Color:Gray]] [[Brand:custom ]] [[Team Name:Metropolitan Division]] [[Team:Metropolitan Division]] [[Size:2XL][quantity:10]] [[Size:3XL][quantity:10]] [[Size:L][quantity:10]] [[Size:M][quantity:10]] [[Size:XL][quantity:10]] ","4.8","flat","usps","International2to3weeks","normal","FALSE","TRUE"
"TUANA585263668","Men's Atlantic Division Zdeno Chara 2018 All-Star Royal Stitched Jersey ","499","70.99","Arts & Entertainment >> Hobbies & Creative Arts >> Collectibles >> Sports Collectibles >> Sports Fan Accessories >> Hockey Fan Accessories","https://images.bonanzastatic.com/afu/images/45f8/2ba0/e309_5899097802/Atlantic_Division_Zdeno_Chara_2018_NHL_All-Star_Royal_Jersey.jpg https://images.bonanzastatic.com/afu/images/674d/dbd3/3785_5899097850/Atlantic_Division_Zdeno_Chara_2018_NHL_All-Star_Royal_Jersey.jpg https://images.bonanzastatic.com/afu/images/6e8b/0bb7/f4ef_5899097905/Atlantic_Division_Zdeno_Chara_2018_NHL_All-Star_Royal_Jersey.jpg https://images.bonanzastatic.com/afu/images/3072/5b51/19d8_5899098011/baseball_jersey_customer_service.png https://images.bonanzastatic.com/afu/images/2626/0bfb/0c9f_5899097998/Collar_blue.jpg https://images.bonanzastatic.com/afu/images/04e2/f954/defb_5899098045/Hockey_jersey_size_chart.jpg https://images.bonanzastatic.com/afu/images/7534/6d7a/07c6_5899098164/shoulder_blue.jpg https://images.bonanzastatic.com/afu/images/f1fa/dae2/ed8e_5899098184/team_logo_blue.jpg","     <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><strong style=""color: rgb(255, 0, 0); font-size: 20px;"">Get 50%OFF For A Limited Time Today Only!</strong></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><strong style=""color: rgb(255, 0, 0); font-size: 20px;"">Retail price: $ 128.99</strong></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-size: 22px;""><span style=""color: rgb(0, 100, 0);""><strong>Today Only: $64.99</strong></span></span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-size: 20px;""><span style=""color: rgb(255, 0, 0);""><strong>Hurry! Offer ends soon. Choose A Jersey Size and Click Add To Cart Now!</strong></span></span>    </p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><em style=""text-align: center;"">We assure you the best quality, Best price ! We have many teams , colors, size available! If you want to custom, please contact with us. </em></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><strong style=""font-family: georgia, serif;"">More Products:  </strong></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;"">We have all teams, players, colors, size, styles jerseys instock. We just put some photos online store. if you like more others, please kindly contact us and we will give you discount if you have big order wholesale. All these photos are real photos products. The items you received will more fantastic then the pictures you see.</span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;"">Please read size chart carefully,there is offical size chart.If we send correct size but buyer choose wrong size we won't accpet this kind dispute.Chest size is measured by the circumference of the widest part of your upper torso, below the arms. Sizes may vary by</span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;""><strong>About US:</strong></span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;"">We are a professional manufacturer and exporter that is concerned with development, quality, design and production of all kinds of jerseys, such as basketball jerseys, american football jersey, hockey jersey, and soccer jerseys. All of our jerseys comply with international quality standards, all stitched and are greatly appreciated in a variety of different markets throughout all over the world.</span></p>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;""><strong>Shipping:</strong></span></p>  <ol style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'> 	<li><span style=""font-family: georgia, serif;"">We can ship your products by Epacket. We will ship the items within 1-3 working days after the payment is reached. All Shipping by plane safely.</span></li> 	<li><span style=""font-family: georgia, serif;"">Shipping time: E-packet 12 – 20 business days depending on different destinations and couriers</span></li> 	<li><span style=""font-family: georgia, serif;"">Customs duty is obligation and liability, and buyer should be responsible for tax and custom duty incurred</span></li> 	<li><span style=""font-family: georgia, serif;"">If haven't receive it after 30 business days, please let us know and we'll provide with the best solution</span></li> </ol>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;""><strong>Payment</strong></span></p>  <ol style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'> 	<li><span style=""font-family: georgia, serif;"">We accept PayPal only.</span></li> 	<li><span style=""font-family: georgia, serif;"">All major credit cards are accepted through secure payment processor PayPal.</span></li> 	<li><span style=""font-family: georgia, serif;"">We ship to your or Paypal address. Please make sure your and Paypal address is correct before you pay.</span></li> </ol>  <p style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'><span style=""font-family: georgia, serif;""><strong>Returns / Concerns</strong></span></p>  <ol style='color: rgb(0, 0, 0); font-size: medium; font-family: ""Times New Roman"";'> 	<li><span style=""font-family: georgia, serif;"">All items qualify for returns within 14 - 30 days of receipt.</span></li> 	<li><span style=""font-family: georgia, serif;"">Buyer is responsible for return shipping payment for any item that is not damaged.</span></li> 	<li><span style=""font-family: georgia, serif;"">Please be sure this is an item you want before making your purchase.</span></li> 	<li><span style=""font-family: georgia, serif;"">Customer Satisfaction is our TOP priority!</span></li> 	<li><span style=""font-family: georgia, serif;"">Inventory changes constantly and it is impossible to maintain a perfectly accurate count of all items.</span></li> 	<li><span style=""font-family: georgia, serif;"">Please do not penalize us if we have to issue you a refund!</span></li> 	<li><span style=""font-family: georgia, serif;"">We would be happy to answer any questions you may have.</span></li> </ol>  <p style=""color: rgb(0, 0, 0); font-family: Lato, Arial, Helvetica, FreeSans, sans-serif; font-size: medium;""><span style=""font-family: georgia, serif;"">Hurry! Offer ends soon. Order our jersey today: </span>Men's Atlantic Division Zdeno Chara 2018 All-Star Royal Stitched Jersey</p>   <p>FUCK</p>
","[[Condition:New]] [[Autographed:No]] [[Product:Jersey]] [[Gender:Men]] [[Country/Region of Manufacture:China]] [[Player:Zdeno Chara]] [[Pre & Post Season:Regular Season]] [[Color:Blue]] [[Brand:custom ]] [[Team Name:Atlantic Division]] [[Team:Atlantic Division]] [[Size:2XL][quantity:10]] [[Size:3XL][quantity:10]] [[Size:L][quantity:10]] [[Size:M][quantity:10]] [[Size:XL][quantity:10]] ","4.8","flat","usps","International2to3weeks","normal","FALSE","TRUE"
